aX,aY,aZ,gX,gY,gZ
0.166,-0.997,0.051,2.808,-6.592,3.845
0.146,-1.005,0.035,-0.793,-6.958,6.775
0.135,-1.021,0.009,-1.160,-6.592,5.554
0.130,-1.004,-0.006,0.305,-4.089,4.456
0.116,-0.994,-0.012,1.282,-0.366,4.028
0.111,-1.005,0.024,0.427,2.930,4.333
0.107,-1.009,0.027,-2.502,2.991,4.089
0.112,-1.007,0.046,-3.845,1.770,3.662
0.126,-1.002,0.041,-3.235,0.305,2.625
0.130,-1.001,0.045,-0.488,0.244,2.686
0.130,-1.000,0.046,2.075,-0.244,2.686
0.131,-0.995,0.043,3.479,-0.488,2.625
0.123,-1.000,0.038,3.235,-0.916,2.686
0.115,-1.003,0.016,2.014,-1.648,2.441
0.104,-1.002,0.013,1.648,-1.038,2.625
0.105,-1.002,0.022,1.404,-0.061,2.747
0.114,-1.000,0.042,0.061,0.427,2.808
0.115,-0.999,0.042,-1.282,-0.122,2.930
0.125,-1.001,0.035,-2.197,-1.770,2.991
0.122,-1.005,0.028,-2.075,-2.686,2.869
0.141,-1.007,0.018,-1.160,-1.831,2.014
0.133,-0.998,0.026,-0.183,-1.831,1.953
0.122,-0.996,0.025,-0.488,-1.221,2.563
0.119,-1.003,0.027,-1.587,-0.732,2.686
0.125,-1.003,0.035,-1.831,-0.549,2.258
0.125,-1.001,0.045,-2.075,-0.793,1.831
0.128,-0.997,0.052,-2.563,-0.977,1.892
0.128,-0.997,0.056,-1.648,-0.916,2.625
0.127,-0.999,0.049,-0.305,-1.526,3.296
0.124,-1.004,0.042,0.793,-1.831,3.479
0.127,-1.007,0.037,1.099,-2.014,3.235
0.131,-1.007,0.037,1.282,-2.136,2.441
0.131,-1.004,0.037,1.404,-1.770,1.404
0.127,-1.001,0.038,1.282,-0.366,1.038
0.126,-1.001,0.042,1.953,1.160,1.038
0.125,-1.001,0.050,2.808,2.502,0.916
0.111,-0.995,0.048,3.418,3.540,0.732
0.134,-1.006,0.039,4.700,5.188,-0.183
0.133,-0.999,0.052,5.981,5.371,0.488
0.121,-0.989,0.056,6.409,5.310,1.404
0.123,-0.996,0.046,5.371,3.540,1.709
0.126,-1.003,0.027,4.089,1.404,1.648
0.123,-1.004,0.018,3.174,0.793,1.770
0.118,-1.007,0.018,1.709,1.099,1.648
0.116,-1.004,0.024,0.671,0.977,1.465
0.116,-1.001,0.032,0.549,1.465,1.526
0.114,-1.000,0.038,0.000,1.343,1.831
0.118,-1.000,0.041,-0.610,1.343,2.197
0.120,-1.000,0.044,-0.732,1.160,2.686
0.123,-1.000,0.047,0.000,1.343,2.930
0.122,-1.001,0.046,1.038,1.526,3.052
0.123,-1.000,0.047,1.465,1.282,3.357
0.120,-0.999,0.048,1.099,0.854,3.174
