aX,aY,aZ,gX,gY,gZ
-0.198,-0.979,-0.655,43.640,-85.876,3.052
-0.169,-0.956,-0.581,25.696,-78.735,8.484
-0.170,-0.927,-0.530,6.958,-76.050,13.733
-0.181,-0.910,-0.518,-8.423,-77.209,16.418
-0.217,-0.908,-0.537,-15.564,-83.191,16.724
-0.267,-0.937,-0.571,-12.573,-90.881,14.160
-0.302,-0.978,-0.605,-2.808,-97.412,7.935
-0.324,-1.004,-0.637,7.812,-100.098,-0.061
-0.325,-1.021,-0.662,15.198,-98.145,-6.653
-0.321,-1.026,-0.670,18.616,-92.468,-11.719
-0.317,-1.012,-0.659,18.860,-83.618,-14.587
-0.324,-0.996,-0.632,16.907,-73.303,-15.930
-0.333,-0.981,-0.603,14.343,-63.354,-16.174
-0.336,-0.976,-0.577,11.719,-54.749,-15.991
-0.337,-0.967,-0.567,9.766,-46.448,-15.625
-0.352,-0.955,-0.550,9.460,-40.222,-15.625
-0.363,-0.928,-0.549,10.193,-36.987,-16.785
-0.358,-0.905,-0.565,11.475,-35.645,-18.799
-0.364,-0.891,-0.574,14.221,-32.349,-20.386
-0.360,-0.886,-0.572,17.700,-25.696,-20.691
-0.350,-0.897,-0.561,20.813,-16.663,-18.616
-0.319,-0.906,-0.532,22.217,-5.981,-14.893
-0.287,-0.914,-0.490,19.836,4.944,-11.353
-0.276,-0.914,-0.451,13.794,14.832,-8.484
-0.278,-0.892,-0.428,5.981,20.752,-6.226
-0.281,-0.871,-0.420,1.160,22.949,-4.822
-0.279,-0.860,-0.418,0.244,23.376,-3.601
-0.266,-0.860,-0.410,1.709,22.827,-1.404
-0.254,-0.861,-0.393,3.357,21.545,1.343
-0.246,-0.843,-0.373,3.174,20.081,4.578
-0.232,-0.836,-0.357,1.404,18.250,8.118
-0.201,-0.844,-0.372,-1.465,16.479,13.000
-0.180,-0.869,-0.411,-5.676,15.747,17.700
-0.151,-0.917,-0.433,-9.766,16.907,20.386
-0.136,-0.966,-0.403,-13.184,18.616,21.790
-0.131,-0.981,-0.356,-17.395,15.442,20.447
-0.112,-0.958,-0.336,-23.804,3.784,16.113
-0.099,-0.897,-0.361,-29.114,-16.296,11.169
-0.048,-0.853,-0.434,-28.137,-39.551,7.202
-0.031,-0.858,-0.520,-20.020,-56.213,5.798
-0.053,-0.923,-0.578,-10.986,-59.998,6.104
-0.057,-1.011,-0.555,-5.432,-50.049,6.836
-0.032,-1.093,-0.481,-5.371,-35.889,6.775
-0.011,-1.115,-0.412,-15.015,-25.757,3.662
0.026,-1.102,-0.398,-31.738,-21.484,-0.610
0.060,-1.030,-0.435,-44.067,-19.592,-4.700
0.094,-0.950,-0.427,-39.490,-20.081,-10.132
0.140,-0.901,-0.376,-18.372,-25.269,-16.052
0.181,-0.901,-0.353,7.080,-33.081,-18.616
0.175,-0.917,-0.377,28.259,-39.124,-14.587
0.115,-0.970,-0.397,41.077,-42.236,-6.287
0.041,-1.079,-0.419,42.603,-38.147,-0.183
-0.034,-1.112,-0.467,31.799,-24.414,0.244
-0.041,-1.108,-0.461,22.400,-3.479,-4.028
0.002,-1.110,-0.349,21.729,19.836,-11.658
0.036,-1.065,-0.223,20.874,35.217,-18.982
0.075,-1.056,-0.137,16.968,40.283,-18.982
0.067,-1.087,-0.099,11.169,38.391,-10.925
0.031,-1.167,-0.041,4.883,36.621,-2.136
0.002,-1.216,-0.025,-3.601,39.490,2.808
-0.050,-1.199,-0.065,-11.292,42.542,3.784
-0.079,-1.142,-0.073,-7.996,44.861,0.244
-0.065,-1.066,-0.056,8.789,49.133,-5.310
-0.039,-1.013,-0.011,29.053,53.955,-8.545
-0.021,-0.983,0.056,43.640,58.105,-7.080
0.009,-1.013,0.127,46.692,60.852,-2.441
0.011,-1.090,0.188,37.598,61.951,5.493
0.024,-1.174,0.185,19.958,62.927,12.939
-0.017,-1.215,0.140,2.563,63.171,16.296
-0.079,-1.214,0.119,-7.263,66.162,14.404
-0.117,-1.170,0.111,-7.202,73.792,8.362
-0.146,-1.122,0.182,-0.366,79.773,1.770
-0.145,-1.089,0.202,6.409,79.346,-3.540
-0.141,-1.043,0.156,10.742,73.669,-7.935
-0.111,-1.016,0.104,18.860,65.979,-11.414
-0.062,-1.008,0.058,29.053,54.138,-11.597
0.010,-1.032,0.001,36.377,38.330,-9.644
0.004,-1.030,-0.091,38.452,25.818,-6.592
-0.018,-1.007,-0.166,36.560,21.362,-4.395
-0.001,-1.005,-0.168,32.043,22.095,-2.991
0.028,-1.033,-0.149,24.353,27.649,-3.052
0.018,-1.031,-0.135,15.503,38.391,-6.165
0.004,-1.017,-0.101,9.766,51.697,-12.268
-0.010,-1.000,-0.052,6.958,62.927,-17.944
0.011,-0.975,0.003,3.967,69.702,-21.484
0.084,-1.020,0.058,1.099,69.580,-20.752
0.094,-1.040,0.115,-2.258,71.045,-15.808
0.086,-1.044,0.183,-2.014,77.393,-12.634

-0.241,-1.097,-1.367,17.029,-185.242,11.108
-0.307,-1.125,-1.388,21.851,-163.940,7.935
-0.358,-1.120,-1.338,24.414,-134.094,7.141
-0.374,-1.096,-1.237,23.437,-102.295,7.019
-0.351,-1.057,-1.124,17.700,-73.669,6.592
-0.344,-1.014,-1.010,9.766,-50.110,6.409
-0.348,-0.987,-0.885,3.174,-32.654,7.202
-0.361,-0.974,-0.769,-1.892,-21.301,7.690
-0.357,-0.961,-0.698,-5.737,-14.709,8.240
-0.346,-0.970,-0.661,-7.874,-10.437,8.667
-0.334,-0.998,-0.630,-8.057,-5.859,9.338
-0.296,-1.026,-0.599,-7.874,1.526,10.193
-0.264,-1.072,-0.554,-8.667,11.169,9.583
-0.233,-1.095,-0.502,-9.766,21.362,6.531
-0.215,-1.084,-0.442,-11.230,31.189,0.366
-0.203,-1.031,-0.385,-10.742,38.879,-6.348
-0.182,-0.982,-0.340,-7.507,44.006,-13.672
-0.183,-0.915,-0.292,-1.831,45.898,-20.264
-0.183,-0.869,-0.244,4.639,46.265,-23.804
-0.167,-0.839,-0.208,9.766,45.105,-24.475
-0.146,-0.835,-0.189,12.085,42.480,-22.339
-0.132,-0.867,-0.188,11.230,40.649,-18.555
-0.115,-0.884,-0.191,7.141,40.833,-14.221
-0.096,-0.895,-0.195,2.747,42.175,-11.353
-0.090,-0.874,-0.195,-0.793,43.640,-10.132
-0.088,-0.857,-0.193,-1.404,44.495,-9.521
-0.090,-0.836,-0.194,0.793,43.884,-8.911
-0.095,-0.819,-0.190,4.333,42.297,-8.362
-0.127,-0.805,-0.182,9.827,39.551,-7.263
-0.141,-0.799,-0.193,14.099,37.292,-5.493
-0.133,-0.790,-0.218,15.808,36.438,-3.418
-0.118,-0.776,-0.249,14.893,37.964,0.427
-0.109,-0.759,-0.282,12.939,40.710,6.592
-0.092,-0.762,-0.303,10.010,42.725,14.465
-0.071,-0.777,-0.303,4.944,44.922,23.193
-0.084,-0.780,-0.294,-2.441,45.593,31.311
-0.124,-0.795,-0.301,-9.644,43.823,37.537
-0.138,-0.816,-0.331,-13.733,42.053,43.274
-0.103,-0.839,-0.370,-13.184,42.175,48.767
-0.087,-0.864,-0.406,-10.498,44.556,53.223
-0.058,-0.906,-0.437,-8.545,48.218,56.274
-0.029,-0.961,-0.449,-9.583,50.415,57.007
-0.029,-0.984,-0.467,-14.587,51.270,53.772
-0.087,-1.006,-0.458,-19.714,51.514,47.668
-0.108,-1.037,-0.450,-19.348,53.589,42.114
-0.064,-1.060,-0.439,-14.160,58.838,38.696
0.001,-1.094,-0.408,-7.874,65.186,36.255
0.070,-1.152,-0.312,-3.296,72.815,34.241
0.079,-1.165,-0.212,-5.554,74.402,32.471
0.099,-1.155,-0.150,-16.418,62.500,28.381
0.127,-1.116,-0.168,-29.785,39.734,19.348
0.108,-1.038,-0.241,-37.781,15.808,8.545
0.076,-1.000,-0.339,-33.142,0.732,-1.770
0.026,-0.984,-0.407,-16.724,-2.441,-10.071
0.016,-0.990,-0.427,4.639,3.418,-15.747
0.046,-1.000,-0.413,21.912,14.526,-19.348
0.111,-1.036,-0.352,30.945,26.489,-19.958
0.166,-1.096,-0.238,31.860,35.400,-19.775
0.179,-1.096,-0.156,20.874,34.851,-21.667
0.158,-1.024,-0.146,5.005,21.973,-28.076
0.095,-0.953,-0.170,-0.671,2.563,-35.034
0.030,-0.919,-0.220,5.859,-10.742,-35.034
0.008,-0.933,-0.282,14.343,-13.367,-28.809
-0.024,-0.972,-0.311,16.846,-2.930,-21.118
-0.045,-1.037,-0.254,12.085,20.386,-10.681
-0.040,-1.085,-0.182,-2.075,45.349,-3.601
-0.026,-1.141,-0.077,-16.357,61.707,-2.991
0.007,-1.088,0.001,-23.132,65.735,-9.705
0.067,-1.022,0.061,-17.517,57.190,-23.193
0.092,-0.847,0.057,-0.793,38.391,-35.034
0.057,-0.705,0.064,19.104,13.794,-37.537
0.014,-0.763,0.012,28.625,-6.958,-24.170
-0.013,-0.899,-0.147,18.066,-15.747,-2.075
-0.080,-1.114,-0.251,-0.977,-10.010,14.160
-0.152,-1.193,-0.324,-15.747,11.047,21.301
-0.121,-1.200,-0.282,-16.479,37.109,16.052
-0.015,-1.215,-0.088,-0.610,55.481,3.357
0.065,-1.132,0.050,13.916,54.138,-8.484
0.113,-1.093,0.043,17.334,38.269,-13.000
0.108,-1.091,-0.053,14.465,21.301,-9.094
0.065,-1.126,-0.161,13.000,8.240,-2.747
