aX,aY,aZ,gX,gY,gZ
0.181,-0.941,0.083,-90.759,-1.099,-44.006
0.132,-0.917,0.163,-76.294,6.042,-50.171
0.030,-0.878,0.236,-51.086,19.470,-54.749
-0.125,-0.854,0.251,-22.827,32.104,-55.664
-0.226,-0.826,0.218,-1.160,31.555,-51.819
-0.258,-0.845,0.146,7.690,17.883,-46.509
-0.263,-0.861,0.064,5.493,0.488,-41.870
-0.230,-0.876,-0.009,-1.709,-15.381,-35.706
-0.188,-0.907,-0.057,-6.775,-26.001,-27.405
-0.179,-0.940,-0.078,-5.493,-23.682,-19.775
-0.175,-0.955,-0.054,2.380,-10.620,-15.442
-0.218,-0.964,-0.004,14.893,4.150,-13.794
-0.364,-1.009,0.036,30.457,17.883,-13.306
-0.526,-1.025,0.051,44.861,24.536,-15.076
-0.604,-0.980,0.032,47.668,17.639,-20.447
-0.623,-0.972,-0.013,38.940,0.977,-23.743
-0.658,-0.981,-0.035,23.071,-17.578,-22.156
-0.638,-0.979,-0.057,4.944,-30.884,-17.639
-0.567,-0.991,-0.072,-9.277,-36.316,-11.719
-0.552,-1.002,-0.050,-13.794,-31.250,-5.676
-0.563,-1.010,-0.010,-8.179,-18.555,-1.526
-0.574,-0.995,0.041,3.906,-6.592,0.488
-0.581,-0.990,0.080,18.311,2.563,1.160
-0.603,-0.988,0.096,31.372,7.996,1.953
-0.602,-0.991,0.105,38.940,6.775,4.150
-0.575,-1.019,0.098,39.612,1.465,6.958
-0.541,-1.062,0.078,33.203,-3.906,10.376
-0.497,-1.099,0.055,22.705,-7.263,13.428
-0.448,-1.132,0.038,12.695,-8.301,15.747
-0.415,-1.161,0.028,6.836,-6.897,16.357
-0.378,-1.182,0.031,6.348,-3.601,14.954
-0.327,-1.196,0.046,10.681,-0.854,12.024
-0.308,-1.194,0.056,16.541,0.122,7.751
-0.296,-1.183,0.050,21.667,0.671,1.770
-0.277,-1.156,0.037,23.376,0.671,-2.991
-0.253,-1.127,0.016,20.142,0.183,-5.188
-0.219,-1.117,0.001,13.916,-0.488,-5.554
-0.195,-1.114,-0.005,7.812,-0.244,-4.578
-0.179,-1.111,-0.002,3.540,2.319,-3.540
-0.165,-1.102,0.005,1.343,5.432,-3.052
-0.156,-1.086,0.018,-0.549,7.568,-2.869
-0.148,-1.065,0.023,-2.930,8.423,-3.052
-0.134,-1.052,0.015,-5.310,7.629,-2.747
-0.116,-1.044,0.004,-5.554,7.812,-2.563

-1.160,-1.014,0.370,2.502,-9.338,12.512
-1.118,-1.009,0.368,13.123,-9.583,14.709
-1.011,-0.988,0.350,24.048,-12.939,16.541
-0.887,-0.989,0.314,29.846,-18.005,20.142
-0.779,-1.024,0.258,28.931,-23.376,24.902
-0.679,-1.075,0.199,21.179,-28.320,28.809
-0.594,-1.123,0.132,7.751,-32.410,31.677
-0.514,-1.149,0.074,-7.874,-35.645,32.227
