aX,aY,aZ,gX,gY,gZ
0.339,-0.485,0.729,11.292,153.137,49.927
0.366,-0.516,0.730,-9.766,152.466,48.523
0.354,-0.478,0.746,-25.085,155.396,44.495
0.329,-0.384,0.768,-22.156,159.058,40.771
0.281,-0.303,0.772,1.221,159.790,39.856
0.361,-0.242,0.831,40.222,156.738,41.260
0.486,-0.451,0.977,79.895,150.696,52.795
0.536,-0.766,1.098,90.820,142.334,70.190
0.554,-0.998,1.177,70.740,130.859,77.454
0.563,-1.097,1.236,36.194,113.159,72.937
0.480,-1.147,1.199,3.357,91.492,59.326
0.513,-0.975,1.178,-12.512,73.303,40.039
0.360,-0.796,1.085,3.540,61.340,30.518
0.270,-0.586,1.024,48.401,60.120,26.245
0.307,-0.399,1.017,109.009,56.946,27.161
0.391,-0.506,1.089,154.480,49.805,42.419
0.429,-0.796,1.138,154.724,39.185,67.444
0.429,-1.020,1.081,113.831,24.719,84.229
0.434,-1.083,1.001,59.448,3.845,87.097
0.511,-1.067,0.934,21.240,-7.935,79.041
0.534,-0.999,0.892,15.503,-3.601,71.899
0.460,-0.902,0.879,36.133,5.371,67.566
0.423,-0.749,0.848,73.792,9.338,61.523
0.437,-0.628,0.803,116.333,4.395,60.059
0.469,-0.638,0.764,143.860,-4.944,69.763
0.469,-0.802,0.704,142.639,-16.174,86.426
0.510,-1.024,0.653,122.131,-31.372,99.426
0.567,-1.166,0.568,98.633,-47.180,103.699
0.604,-1.226,0.506,81.726,-55.786,100.708
0.581,-1.237,0.484,74.524,-54.565,96.313
0.523,-1.210,0.472,76.843,-49.316,91.064
0.515,-1.133,0.443,83.618,-45.105,84.045
0.551,-1.104,0.421,91.858,-45.349,80.261
0.552,-1.189,0.385,97.473,-50.842,83.618
0.579,-1.318,0.311,97.534,-61.218,85.815
0.619,-1.429,0.201,96.252,-77.820,81.055
0.634,-1.481,0.094,98.572,-96.008,72.510
0.617,-1.477,-0.003,102.722,-107.971,62.378
0.593,-1.460,-0.099,103.271,-110.840,51.147
0.573,-1.382,-0.174,95.947,-105.774,42.175
0.545,-1.286,-0.182,80.750,-93.811,35.889
0.472,-1.182,-0.183,59.570,-79.102,34.119
0.446,-1.107,-0.181,39.490,-63.110,35.095
0.511,-1.086,-0.187,27.222,-47.546,36.926
0.539,-1.119,-0.198,28.320,-38.147,37.964
0.519,-1.188,-0.183,42.786,-35.767,35.278
0.488,-1.210,-0.193,59.875,-38.330,27.588
0.433,-1.193,-0.205,69.702,-46.509,15.076
0.390,-1.134,-0.243,68.665,-54.993,3.662
0.380,-1.068,-0.279,58.777,-59.448,-3.357
0.362,-1.044,-0.324,45.959,-58.228,-5.310
0.360,-1.041,-0.334,33.569,-52.917,-4.639
0.414,-1.088,-0.330,24.231,-46.509,-3.723
0.496,-1.160,-0.367,21.301,-44.067,-2.502
0.521,-1.249,-0.447,27.893,-50.964,-2.014
0.548,-1.318,-0.555,38.696,-60.608,-1.343
0.528,-1.385,-0.649,45.471,-66.406,-0.854
0.487,-1.450,-0.708,45.410,-65.796,-2.136
0.435,-1.465,-0.739,39.307,-59.143,-7.324
0.405,-1.404,-0.729,30.334,-46.814,-16.602
0.391,-1.294,-0.668,23.132,-30.396,-24.414

0.723,-1.015,0.943,-6.104,-97.656,78.796
0.794,-1.105,0.860,-0.244,-120.972,78.613
0.900,-1.194,0.757,5.493,-138.062,72.266
0.944,-1.243,0.681,12.207,-148.376,65.796
1.021,-1.316,0.682,19.165,-151.733,61.646
1.080,-1.365,0.702,25.024,-150.940,56.763
1.076,-1.428,0.640,29.724,-157.410,48.096
1.112,-1.454,0.455,35.217,-167.114,36.499
1.142,-1.461,0.207,47.852,-173.096,23.010
1.135,-1.446,0.003,73.059,-174.500,6.531
1.148,-1.473,-0.092,102.295,-168.152,-7.385
1.178,-1.510,-0.218,122.375,-148.499,-17.456
1.191,-1.544,-0.356,131.348,-119.141,-24.719
1.171,-1.578,-0.483,131.470,-97.046,-32.166
1.142,-1.616,-0.629,125.671,-89.233,-40.405
1.091,-1.672,-0.733,123.535,-95.520,-49.561
1.049,-1.743,-0.807,122.192,-108.643,-61.523
0.996,-1.790,-0.937,115.112,-125.488,-79.651
0.954,-1.745,-1.092,104.431,-145.325,-97.839
0.875,-1.639,-1.270,95.093,-159.302,-113.892
0.803,-1.578,-1.426,92.041,-161.804,-126.709
0.674,-1.469,-1.536,93.628,-147.888,-136.414
0.533,-1.352,-1.578,96.924,-123.413,-144.836
0.458,-1.260,-1.586,96.191,-91.248,-150.452
0.428,-1.200,-1.540,88.379,-61.401,-153.992
0.369,-1.180,-1.559,75.928,-39.734,-156.311
0.347,-1.152,-1.521,60.425,-15.747,-159.790
0.298,-1.100,-1.499,46.570,-0.427,-164.856
0.259,-1.059,-1.459,37.231,17.944,-167.053
0.222,-1.005,-1.362,28.137,39.368,-165.894
0.213,-0.951,-1.261,16.357,58.533,-161.926
0.198,-0.932,-1.220,1.221,69.031,-159.363
0.191,-0.893,-1.234,-14.893,70.740,-158.875
0.177,-0.848,-1.240,-23.743,70.435,-159.180
0.182,-0.777,-1.223,-26.733,73.120,-159.241
0.166,-0.673,-1.211,-29.419,76.782,-157.715
0.164,-0.594,-1.146,-31.494,83.130,-151.611
0.157,-0.561,-1.069,-36.682,93.567,-142.212
