aX,aY,aZ,gX,gY,gZ
-0.917,0.418,-0.015,-4.211,20.020,16.479
-0.904,0.302,0.004,8.362,18.005,24.353
-0.944,0.211,0.014,15.259,15.503,29.602
-0.983,0.123,0.002,15.991,14.648,35.034
-0.979,0.098,0.004,13.855,15.564,39.490
-0.982,0.088,0.019,12.634,18.738,38.574
-0.984,0.079,0.039,11.536,24.292,36.194
-0.990,0.078,0.076,13.123,29.175,34.424
-0.972,0.064,0.109,19.470,29.480,32.227
-0.968,0.050,0.127,25.757,25.391,28.931
-0.978,0.021,0.104,26.062,17.151,25.696
-0.980,0.001,0.073,19.836,6.897,22.339
-1.001,-0.007,0.033,10.010,-0.610,18.860
-1.026,-0.022,0.009,1.465,-3.174,16.174
-1.028,-0.022,0.007,-3.845,-1.953,14.282
-1.025,-0.025,0.017,-5.127,1.343,13.489
-1.009,-0.050,0.042,-4.639,5.310,13.367
-0.990,-0.090,0.068,-2.808,7.812,12.207
-0.982,-0.115,0.084,-0.916,6.287,8.301
-0.990,-0.125,0.087,-0.977,1.099,2.686
-1.006,-0.096,0.072,-3.479,-4.883,-2.686
-1.021,-0.058,0.048,-5.188,-9.216,-6.775
-1.044,-0.011,0.026,-5.005,-10.315,-9.705
-1.058,0.029,0.016,-3.845,-7.263,-10.620
-1.050,0.075,0.025,-2.197,-1.526,-9.155
-1.035,0.110,0.045,-1.282,4.456,-6.958
-1.023,0.122,0.068,-0.916,8.972,-5.005
-1.007,0.119,0.086,-1.404,9.583,-4.028
-0.996,0.119,0.085,-2.563,6.409,-3.601
-0.996,0.123,0.068,-5.249,2.197,-3.418
-1.002,0.125,0.054,-8.545,-0.427,-2.625
-1.006,0.116,0.056,-11.169,-1.648,-0.977
-0.996,0.118,0.065,-12.390,-1.343,0.366
-0.990,0.131,0.071,-12.329,-0.183,0.916
-0.998,0.123,0.075,-10.742,0.977,1.770
-0.994,0.111,0.087,-7.385,2.014,4.272
-0.988,0.106,0.085,-2.869,1.831,5.615
-0.994,0.119,0.067,0.366,0.305,5.676
-1.006,0.145,0.050,1.038,-0.793,6.042
-1.011,0.181,0.036,-0.061,-0.916,6.958
-1.009,0.234,0.036,-1.770,0.122,7.935
-1.015,0.295,0.048,-4.517,2.319,9.033
-1.021,0.355,0.058,-9.644,4.944,10.437
-1.019,0.412,0.068,-15.747,6.226,11.963
-1.011,0.458,0.070,-20.081,6.348,14.221
-1.013,0.474,0.068,-20.386,6.165,18.311
-1.025,0.473,0.063,-15.991,6.836,26.550
-1.022,0.444,0.048,-6.958,7.080,37.781
-1.012,0.397,0.033,4.456,6.714,49.683
-1.001,0.356,0.020,16.479,8.057,59.814
-0.990,0.325,0.024,25.818,10.742,67.017
-0.979,0.300,0.034,28.320,13.245,71.411
-0.961,0.274,0.047,23.254,13.733,72.937
-0.944,0.256,0.054,10.010,11.719,72.083
-0.938,0.248,0.046,-8.789,8.301,69.336
-0.946,0.256,0.030,-27.832,4.517,66.650
-0.956,0.258,0.011,-42.664,1.831,66.101
-0.961,0.254,-0.006,-50.659,1.404,68.054
-0.964,0.235,0.001,-48.462,6.104,72.693
-0.963,0.210,0.022,-38.818,14.709,79.468
-0.963,0.181,0.050,-26.550,23.499,86.670
-0.958,0.150,0.083,-16.052,30.334,93.323
-0.946,0.120,0.116,-10.925,33.875,98.999
-0.920,0.080,0.134,-12.390,33.386,102.539
-0.891,0.042,0.134,-19.531,29.480,103.455
-0.873,0.022,0.147,-29.419,23.865,101.624
-0.860,-0.005,0.141,-37.537,18.188,99.243
